,founder,wasFaang
1054,Aswin Andrison,0
1055,Atif Javed,1
1056,Atsuhiro Takahashi,0
1057,Atul Raghunathan,0
1058,Atyab Bhatti,0
1059,Aubone Tennant,0
1060,Aubrey Donnellan,0
1061,Audrey Djiya,0
1062,August Chen,0
1063,Augustin Baudoin,0
1064,Aurelia Song,0
1065,Aurelien Aubert,0
1066,Austa Jiang,0
1067,Austen Allred,0
1068,Austin Appel,0
1069,Austin Bishop,0
1070,Austin Briggs,0
1071,Austin Buchan,0
1072,Austin Chang,1
1073,Austin Che,0
1074,Austin Esecson,0
1075,Austin Kahn,0
1076,Austin Lockwood,1
1077,Austin McCoy,0
1078,Austin Neudecker,0
1079,Austin Ogilvie,0
1080,Austin Petersen,0
1081,Austin Steed,0
1082,Austin Tindle,0
1083,Austin Vedder,0
1084,Austin Walker,0
1085,Austin Wang,0
1086,Austin Woolridge,0
1087,Auston Bunsen,0
1088,Avhijeet  Kapoor,0
1089,Avi Stoller,0
1090,Avijit Sharma,0
1091,Avinash Anand,0
1092,Avinash Pandey,0
1093,Avinash Sukhwani,0
1094,Avishay Cohen,0
1095,Avishek Panigrahi,1
1096,Avneet Ghotra,0
1097,Axel Delafosse,0
1098,Axel Radermacher,0
1099,Ayal Yogev,0
1100,Ayantika Dey,0
1101,Ayde Soto,0
1102,Aylon Steinhart,0
1103,Ayman Nadeem,0
1104,Aymar Dumoulin,0
1105,Aymeric Rabot,0
1106,Ayodeji Arikawe,0
1107,Ayomide Awe,0
1108,Ayoola Akinkunmi,0
1109,Ayse Akcura,0
1110,Ayush Jain,0
1111,Ayush Jasuja,0
1112,Ayush Pateria,0
1113,Ayush Sharma,0
1114,Azim Barodawala,0
1115,Aziz  Jaouhari,0
1116,Aziz Alghunaim,0
1117,Babar Khan,0
1118,Bach Bui,0
1119,Badal Jain,0
1120,Bagrat Grigoryan,0
1121,Bailey Da Costa,0
1122,Balaji R,0
1123,Balakrishna Balasubramanian,0
1124,Balazs Moldovanyi,0
1125,Baldwin Cunningham,0
1126,Baptiste Coquelle,0
1127,Baptiste Cumin,0
1128,Bar Geron,0
1129,Barak Ben Ezer,0
1130,Barak Oshri,0
1131,Baran Özkan,0
1132,Barbara Oliveira,0
1133,Barbora Howell,0
1134,Baris Bilgic,0
1135,Barnabas Birmacher,0
1136,Barrett Ames,0
1137,Barry Canton,0
1138,Barry Peterson,0
1139,Barsi Luna,0
1140,Bart Dirkx,0
1141,Baruch Oxman,0
1142,Baskar Puvanathasan,1
1143,Bastien Beurier,0
1144,BeBe Kim,0
1145,Bea Arthur,0
1146,Beau Allison,0
1147,Beau Hartshorne,1
1148,Beau Tateyama,0
1149,Bec Wilder,0
1150,Bede Jordan,0
1151,Beenu Arora,0
1152,Ben Adida,0
1153,Ben Congleton,0
1154,Ben De Smet,0
1155,Ben Doyle,0
1156,Ben Eachus,0
1157,Ben Ehmke,0
1158,Ben Eluan,0
1159,Ben Firshman,1
1160,Ben Herila,0
1161,Ben Huh,0
1162,Ben Lerner,1
1163,Ben Magolan,0
1164,Ben Maitland-Lewis,0
1165,Ben Mappen,0
1166,Ben Martinez,0
1167,Ben Ogle,0
1168,Ben Pellow,0
1169,Ben Phillips,0
1170,Ben Reinhart,0
1171,Ben Richards,0
1172,Ben Sadeghi,0
1173,Ben Scharfstein,1
1174,Ben Schermel,0
1175,Ben Shepherd,0
1176,Ben Shumaker,0
1177,Ben Silbermann,1
1178,Ben Simpson,0
1179,Ben Springwater,0
1180,Ben Stein,0
1181,Ben Taylor,0
1182,Ben Thompson,0
1183,Ben Towers,0
1184,Ben Warren,0
1185,Ben Wesner,0
1186,Ben Wild,0
1187,Ben Wong,0
1188,Ben Wu,0
1189,Ben Wyrosdick,0
1190,Ben Yule,0
1191,Benas Sidlauskas,0
1192,Benedetta di Robilant,0
1193,Benjamin Anderson,0
1194,Benjamin Balazs,0
1195,Benjamin Bolte,0
1196,Benjamin Claman,0
1197,Benjamin Croc,0
1198,Benjamin Devienne,1
1199,Benjamin Encz,0
1200,Benjamin Fernandes,0
1201,Benjamin Garcia,0
1202,Benjamin Garvey,0
1203,Benjamin Godlove,0
1204,Benjamin Grosser,0
1205,Benjamin Ha,0
1206,Benjamin Hale,0
1207,Benjamin Huang,0
1208,Benjamin Kohn,0
1209,Benjamin Lavin,0
1210,Benjamin Litvin,0
1211,Benjamin Netter,0
1212,Benjamin Preston,0
1213,Benjamin Rasera,0
1214,Benjamin Reeves,0
1215,Benjamin Reilly,0
1216,Benjamin Roux,0
1217,Benjamin Stanfield,0
1218,Benjamin Swerdlow,0
1219,Benjamin Tee,0
1220,Benjamin Todd,0
1221,"Benjamin Yang, Director of product development",0
1222,Benjamin Zulauf,0
1223,Benjamín Labra,0
1224,Benji Visser,0
1225,Benjie Gillam,0
1226,Bennett Hoffman,0
1227,Bennett Rogers,0
1228,Benoit Menardo,0
1229,Berk Ozer,0
1230,Berk Çebi,0
1231,Berkay Adlim,0
1232,Bernard Chang,0
1233,Bernardo Aceituno,0
1234,Bernardo Magnani,0
1235,Bernardo Reis,0
1236,Bernardo de Padua,1
1237,Bernhard Tittelbach,0
1238,Bert De Brabandere,0
1239,Bertrand Vick,0
1240,Beth Hoffman,0
1241,Beth Kolko,0
1242,Betsie Larkin,0
1243,Bhagaban Behera,0
1244,Bhairav Mehta,0
1245,Bharat Gupta,0
1246,Bharat Kilaru,0
1247,Bharath Kumar Reddy,0
1248,Bharath Varma,0
1249,Bhavesh Khandelwal,0
1250,Bhavin Gupta,0
1251,Bhavna Kapoor,0
1252,Bhavna Tandon,0
1253,Bhavuk Kaul,0
1254,Bianca Orsini,0
1255,Bianca Pereira,0
1256,Bigi Lui,0
1257,Bilal Dahlab,0
1258,Bilal Farooqui,0
1259,Bilal Mahmood,1
1260,Bill Bobbitt,0
1261,Bill Chen,0
1262,Bill Elkman,0
1263,Bill Kung,0
1264,Bill Moorier,0
1265,Bill Newhart,0
1266,Bill Ulammandakh,0
1267,Bill Violante ,0
1268,Bill Zhou,1
1269,Billy Caballero,0
1270,Billy Guan,0
1271,Billy Rinchin,0
1272,Billy Thalheimer,0
1273,Birgitt Boschitsch,0
1274,Bitiya Samuel,0
1275,Bjarne Christiansen,0
1276,Bjoern Zinssmeister,0
1277,Blaine Vess,0
1278,Blake Adams,1
1279,Blake Meulmester,0
1280,Blake Robertson,0
1281,Blake Scholl,1
1282,Blanca Espinosa,1
1283,Blendi Bylygbashi,0
1284,Blossom Okonkwo,0
1285,Bo Chen,0
1286,Bo Li,1
1287,Bo Lu,0
1288,Boateng Opoku-Yeboah,1
1289,Bob Criner,0
1290,Bob Dimaggio,0
1291,Bob Haigler,0
1292,Bob Schafer,0
1293,Bobby Bayer,0
1294,Bobby Johnson,1
1295,Bobby Meelu,1
1296,Bobby Pinckney,0
1297,Bogdan Apostol,0
1298,Bolu Ben-Adeola,0
1299,Bondan Herumurti,0
1300,Boris Jabes,0
1301,Boris Jarry,0
1302,Boris Lipchin,1
1303,Boris Silver,0
1304,Boris Vaisman,0
1305,Borna Safabakhsh,0
1306,Botty Dimanov,0
1307,Boyd Christiansen,0
1308,Brad Brenner,0
1309,Brad Dwyer,0
1310,Brad Eckert,1
1311,Brad Flora,0
1312,Brad Gessler,0
1313,Brad Menezes,0
1314,Brad Murray,0
1315,Brad Phaisan,1
1316,Brad Ross,0
1317,Brad Schiller,0
1318,Brad Sickles,0
1319,Brad Stronger,0
1320,Brad Van Vugt,0
1321,Bradford Cross,0
1322,Bradley Buda,0
1323,Bradley Justice,0
1324,Brady Ochse,0
1325,Brady Stoddard,0
1326,Braian Fritz,0
1327,Brain Xiang,0
1328,Brandan Zaucha,0
1329,Brandon Arbini,0
1330,Brandon Ballinger,1
1331,Brandon Bayer,0
1332,Brandon Contino,0
1333,Brandon Dement,0
1334,Brandon Foo,0
1335,Brandon Hill,0
1336,Brandon Jeon,0
1337,Brandon Le,0
1338,Brandon Leonardo,0
1339,Brandon Liu,0
1340,Brandon Malatest,0
1341,Brandon Paton,0
1342,Brandon Rodman,0
1343,Brandon Severin,0
1344,Brandon Shin,0
1345,Brandon Stokes,0
1346,Brandon Strittmatter,0
1347,Brandon Whang,0
1348,Brayden Werner,1
1349,Brayden Wilmoth,0
1350,Breck Yunits,0
1351,Brek Goin,0
1352,Brendan Ardagh,0
1353,Brendan Ashworth,0
1354,Brendan Doms,0
1355,Brendan Falk,0
1356,Brendan Finch,0
1357,Brendan Irvine-Broque,0
1358,Brendan Lee Young,0
1359,Brendan Lim,1
1360,Brendan Quinn,1
1361,Brendan Suh,0
1362,Brendan Tobin,0
1363,Brendan Wood,0
1364,Brennan Erbz,0
1365,Breno Oliveira,0
1366,Brent D'Adamo,0
1367,Brent LaRue,0
1368,Brent Newhouse,1
1369,Brent Ridley,0
1370,Brent Traut,0
1371,Brent Wadas,0
1372,Brett Gibson,0
1373,Brett Hagler,0
1374,Brett Huneycutt,0
1375,Brett Leonard,0
1376,Brett Northart,0
1377,Brett van Zuiden,1
1378,Brian  Anglin,0
1379,Brian Armstrong,0
1380,Brian Bristol,0
1381,Brian Brunner,0
1382,Brian Campbell,0
1383,Brian Chan,0
1384,Brian Chen,0
1385,Brian Eggleston,0
1386,Brian Fernandez,0
1387,Brian Fioca,0
1388,Brian Forde,0
1389,Brian Gallagher,0
1390,Brian Gamido,1
1391,Brian Gitt,0
1392,Brian Glick,1
1393,Brian Goler,0
1394,Brian Gonzalez,0
1395,Brian Groudan,1
1396,Brian Guthrie,0
1397,Brian Kim,0
1398,Brian Kohl,0
1399,Brian Krausz,1
1400,Brian Krejcarek,0
1401,Brian Laleye,0
1402,Brian Law,0
1403,Brian Le,0
1404,Brian Lee,0
1405,Brian Leung,0
1406,Brian Liou,0
1407,Brian Luerssen,0
1408,Brian Ma,0
1409,Brian Maurer,0
1410,Brian Merritt,0
1411,Brian Murray,0
1412,Brian Nguyen,0
1413,Brian Noguchi,0
1414,Brian Park,0
1415,Brian Payne,0
1416,Brian Schulman,1
1417,Brian Sexton,0
1418,Brian Shih,1
1419,Brian Sloss,0
1420,Brian Tobal,0
1421,Brian Trautschold,0
1422,Brian Vallelunga,0
1423,Brian Wallach,0
1424,Brian Yang,1
1425,Brian Yu,0
1426,Briar Smith,0
1427,Brice Douglas,0
1428,Brice Klein,0
1429,Britt Cagnina,0
1430,Brivael Le Pogam,0
1431,Broderick McClinton,0
1432,Brooks Sime,0
1433,Bruce Chi,0
1434,Bruce Friedrich,0
1435,Bruce German,0
1436,Bruce Pla,0
1437,Bruce Tribbensee,0
1438,Bruno Faviero,0
1439,Bruno Jacob,0
1440,Bruno Loiola,0
1441,Bruno Lucas,0
1442,Bruno Luigi,0
1443,Bruno Passos,0
1444,Bruno Prezado Silva,0
1445,Bruno Vegreville,0
1446,Bruno Vieira Costa,0
1447,Bryan Beshore,0
1448,Bryan Frimin,0
1449,Bryan Giger,0
1450,Bryan He,0
1451,Bryan Kim,0
1452,Bryan Leptich,0
1453,Bryan Pirtle,0
1454,Bryan Trang,0
1455,Bryan Wilcox,0
1456,Bryant Chou,0
1457,Bryant Lee,0
1458,Bryant Wolf,0
1459,Bryn Jones,0
1460,Bu Kinoshita,0
1461,Bucky Khan,0
1462,Buddha Chaudhuri,0
1463,Budi Handoko,0
1464,Burak YILMAZ,0
1465,Burton Miller,0
1466,Buzz Rubenstein,0
1467,Buğra Gündüz,0
1468,Byron Hsu,0
1469,Byron Milligan,0
1470,CJ Isakow,0
1471,Cadran Cowansage,0
1472,Caelean Barnes,0
1473,Cafer Ozdemir,0
1474,Cahlan Sharp,0
1475,Cai GoGwilt,0
1476,Caio Almeida,0
1477,Caitlin Leksana,0
1478,Caitlin Short,0
1479,Caleb Cross,0
1480,Caleb Harris,0
1481,Caleb Van Dyke,1
1482,Calix Huang,0
1483,Calum Moore,0
1484,Calvin Chen,0
1485,Calvin LeGassick,0
1486,Calvin Tuong,1
1487,Calvin Usiri,0
1488,Cam Korzecke,1
1489,Cam Sadler,0
1490,Cameron Ball,0
1491,Cameron Brookhouse,0
1492,Cameron Cooper,0
1493,Cameron Duncan,0
1494,Cameron Robertson,0
1495,Cameron Sabol,1
1496,Cameron Yarbrough,0
1497,Camilla Falkenberg,0
1498,Camille Ang,0
1499,Camilo Jimenez,0
1500,Camilo Sanchez,0
1501,Can Sar,1
1502,Capri Wheaton,0
1503,Carina Boo,1
1504,Carina Cater,0
1505,Carissa Castro,0
1506,Carl Atupem,1
1507,Carl Carell,0
1508,Carl Cervone,0
1509,Carl Cortright,0
1510,Carl Madi,0
1511,Carl Peterson,0
1512,Carl Schoeller,0
1513,Carl-Alain Memnon,0
1514,Carlito Lebrilla,0
1515,Carlo  Kobe,0
1516,Carlo Badini,0
1517,Carlo Candela,0
1518,Carlos Alberto Medellin Gonzalez,0
1519,Carlos Aravena ,0
1520,Carlos Cruz,0
1521,Carlos Feliciano,0
1522,Carlos Gomez Andonaegui,0
1523,Carlos Marchal,0
1524,Carlos Moreno,0
1525,Carlos Reyes Stoneham,0
1526,Carlos Saavedra,0
1527,Carlos Salinas,0
1528,Carlos Tejeda,0
1529,Carlos Treviño,0
1530,Carlos Vega,0
1531,Carly  Leahy,1
1532,Carly Allen,0
1533,Carly Price,0
1534,Carmelo Juanes,0
1535,Carol Riboud,0
1536,Caroline  Cochran ,0
1537,Caroline McKeon,0
1538,Carolyn Edelstein,0
1539,Carolyn Mooney,0
1540,Carson Gibbons,0
1541,Carter Minshull,0
1542,Casey Bell,0
1543,Casey Haakenson,0
1544,Casey Harlin,0
1545,Casey Traina,0
1546,Cassandra Sarfo,0
1547,Cassie Choi,0
1548,Cassio Menezes,0
1549,Cassio Santos Jr,0
1550,Cat Zeng,0
1551,Catherine Denis,0
1552,Catherine Hrdy,0
1553,Catherine Jiang,0
1554,Catherine Spence,0
1555,Catheryn Li,1
1556,Cathy Han,0
1557,Cecilia Corral,0
1558,Cecilia Gonzalez,0
1559,Cedric Dussud,0
1560,Cedric Foudjet,0
1561,Cedric Priscal,0
1562,Cedric Rogers,1
1563,Celestin de Wergifosse,0
1564,Celilsemi Sam Erkiner,0
1565,Celina Qi,0
1566,Celina Tenev,0
1567,Celine Tien,0
1568,Cesar Alaniz,0
1569,Cesar Pino,0
1570,Cesar Talledo,0
1571,Cezar Grigore,0
1572,Ch Haziq Ahmed,0
1573,Chad Etzel,1
1574,Chad Powell,0
1575,Chad Remesch,0
1576,Chad Swenson,0
1577,Chai Mishra,0
1578,Chaitanya Sarda,1
1579,Chaithanya Murali ,0
1580,Chaitu Aluru,0
1581,Chalam PVS,0
1582,Chandan Lodha,1
1583,Chandell Stone,0
1584,Chandler Craig,0
1585,Chandler Rogers,0
1586,Chandni Chainani,0
1587,Channy Hong,0
1588,Chapman Snowden,0
1589,Charles Acknin,1
1590,Charles Bai,1
1591,Charles Chretien,1
1592,Charles Desouza,0
1593,Charles Duffy,0
1594,Charles Forman,0
1595,Charles Lambert,0
1596,Charles Niu,0
1597,Charles Szymanski,0
1598,Charles Weill,0
1599,"Charles Whitby, CISSP, PCIP, CRISC, CISM",0
1600,Charley Lee,0
1601,Charlie Cheever,1
1602,Charlie Durbin,0
1603,Charlie Gascon,0
1604,Charlie Pinto,1
1605,Charlie Thomas,0
1606,Charlotte McGinn,0
1607,Charly POLY,0
1608,Chas Ballew,0
1609,Chase Adam,0
1610,Chase Bonhag,0
1611,Chase McAleese,0
1612,Chase Sechrist,0
1613,Chen Atlas,0
1614,Chen Wang,0
1615,Chen-Chen Huo,0
1616,Chen-Ping Yu,0
1617,Cheng Lu,0
1618,Cheng Lyu,0
1619,Chengjun Yuan,1
1620,Chengyun Quan,0
1621,Cherian Dr,0
1622,Chetan Dalal,0
1623,Chetan Kulhari,0
1624,Chetan Parthiban,0
1625,Chetan Rane,0
1626,Chhay Chhun,0
1627,Chiara McPhee,0
1628,Chike Achebe,0
1629,Chine Ikoro,0
1630,Chinmay Bharti,0
1631,Chinmay Chauhan,0
1632,Chioma Okotcha,0
1633,Chirag Mahapatra,1
1634,Chirag Toor,0
1635,Chirath Neranjena,0
1636,Chishun Kwong,0
1637,Chisom Ebinama,0
1638,Chiu Chau,0
1639,Chong Shen,0
1640,Chris Amador,0
1641,Chris Anderson,0
1642,Chris Ariante,0
1643,Chris Ashby,0
1644,Chris Auer,0
1645,Chris Bache,0
1646,Chris Bakke,0
1647,Chris Battarbee,0
1648,Chris Best,0
1649,Chris Blaser,0
1650,Chris Campbell,0
1651,Chris Carde,1
1652,Chris Carlson,0
1653,Chris Castiglione,0
1654,Chris Cave,0
1655,Chris Chan,0
1656,Chris Chen,0
1657,Chris Ciriello,0
1658,Chris Craighill,0
1659,Chris Dean,0
1660,Chris Edelmann,0
1661,Chris Eigeland,0
1662,Chris Fanini,0
1663,Chris Field,0
1664,Chris Finneral,0
1665,Chris Gardner,0
1666,Chris Ginter,1
1667,Chris Glace,0
1668,Chris Granger,0
1669,Chris Greben,0
1670,Chris Grouchy,0
1671,Chris Hill,0
1672,Chris Hollindale,0
1673,Chris Hood,0
1674,Chris Horne,1
1675,Chris Hsu,0
1676,Chris Hull,0
1677,Chris Kelly,0
1678,Chris Kyras,0
1679,Chris Lengerich,1
1680,Chris Lo,0
1681,Chris Lovato,0
1682,Chris Lowder,0
1683,Chris Mathew,0
1684,Chris Messina,1
1685,Chris Molozian,0
1686,Chris Naoumidis,0
1687,Chris Navrides,0
1688,Chris Nguyen,0
1689,Chris Nicholson,0
1690,Chris Osborn,0
1691,Chris Parsonson,0
1692,Chris Phillips,0
1693,Chris Pihl,0
1694,Chris Podlaski,0
1695,Chris Roebuck,0
1696,Chris Smoak,1
1697,Chris Stanley,0
1698,Chris Stewart,0
1699,Chris Szymansky,0
1700,Chris Tsai,0
1701,Chris Turitzin,1
1702,Chris Varenhorst,1
1703,Chris Williams,0
1704,Chris Winchurch,0
1705,Chris Winslett,0
1706,Chris Wood,0
1707,Christel Ilaka,0
1708,Christian Baroni,0
1709,Christian Brink,0
1710,Christian DalSanto,0
1711,Christian Green,0
1712,Christian Haigh,0
1713,Christian Hermawan,0
1714,Christian Iacullo,0
1715,Christian Kletzl,1
1716,Christian Knudsen,0
1717,Christian Kohrs,0
1718,Christian Lau,0
1719,Christian Lie,0
1720,Christian Mathiesen,0
1721,Christian Mischler,0
1722,Christian Reyes,0
1723,Christian Romming,0
1724,Christian Schiller,0
1725,Christian Schweiger,0
1726,Christian Södergren,0
1727,Christian Timmerer,0
1728,Christian Van Der Henst,0
1729,Christian White,0
1730,Christian Yang,1
1731,Christian-Robert Joseph,0
1732,Christie Kong,0
1733,Christie Lagally,0
1734,Christina Cacioppo,0
1735,Christina Czap,0
1736,Christina K. Lopes,0
1737,Christina Reynolds,0
1738,Christina Seong,0
1739,Christine Yen,0
1740,Christoffer Nyvold,0
1741,Christoph Bernkopf,0
1742,Christoph Drexler,0
1743,Christoph Lynen,0
1744,Christophe Barre,0
1745,Christophe Lassuyt,0
1746,Christophe Pasquier,0
1747,Christophe Robilliard,0
1748,Christopher Ager,0
1749,Christopher Blum,0
1750,Christopher Chae,0
1751,Christopher Coleman,0
1752,Christopher Compean,0
1753,Christopher Davlantes,0
1754,Christopher Farm,0
1755,Christopher Hesse,0
1756,Christopher Jing,0
1757,Christopher Kindl,0
1758,Christopher Lotz,0
1759,Christopher Mjelde,0
1760,Christopher Morton,0
1761,Christopher Mueller,0
1762,Christopher R. Carlson,0
1763,Christopher Shafer,0
1764,Christopher Sheehan,0
1765,Christopher Shelner,0
1766,Christopher Slowe,0
1767,Christopher Smeder,0
1768,Christopher Steiner,0
1769,Christopher Triolo,1
1770,Christopher Van Dyke,0
1771,Christopher Wu,0
1772,Christos Antonopoulos,0
1773,Christos Hadjiaslanis,0
1774,Chrys Bader,1
1775,Chuma Ogunwole,0
1776,Chuong Nguyen,0
1777,Ciarán O'Mara,0
1778,Cihan Tas,0
1779,Cipriano Echavarria,0
1780,Cirdes Henrique,0
1781,Civan Ozseyhan,0
1782,Claire McDonnell,0
1783,Claire Wiley,0
1784,Clark Jacobs,0
1785,Claudio Pinkus,0
1786,Clayton Gardner,0
1787,Clemens Rawert,0
1788,Clement Bruneau,0
1789,Clement Renault,0
1790,Clementine Jacoby,1
1791,Cleophus Robinson IV,0
1792,Clifford Keeney,0
1793,Clifton van der Linden,0
1794,Clint Berry,0
1795,Clint Webb,0
1796,Clément Nguyen,0
1797,Coco Zuloaga,0
1798,Cody Pawlowski,0
1799,Cody Stoltman,0
1800,Coen Stevens,0
1801,Cole Bransford,0
1802,Cole Cable,0
1803,Cole Krumbholz,0
1804,Cole Rise,0
1805,Cole Rubin,0
1806,Coleman Oates,0
1807,Colin Barceloux,0
1808,Colin Beattie,0
1809,Colin Chartier,0
1810,Colin Devine,0
1811,Colin Elsinga,0
1812,Colin Feo,0
1813,Colin Hayhurst,0
1814,Colin McDonnell,0
1815,Colin Snyder,0
1816,Colin Turner,0
1817,Collin Jackson,1
1818,Collin Pham,0
1819,Collin Schneider,0
1820,Collin Wallace,0
1821,Colton Dillion,0
1822,Colton Gyulay,1
1823,Colton Voege,0
1824,Colum Donahue,0
1825,Conder Shou,1
1826,Connor Duffy,0
1827,Connor Giles,0
1828,Connor Janson,0
1829,Connor Lee,0
1830,Connor Riley,0
1831,Conor Burke,0
1832,Conor Lee,0
1833,Conor McCarter,0
1834,Conor Murray,0
1835,Conrad Chan,1
1836,Conrad Lilleness,1
1837,Constantin Schreiber,0
1838,Conway Teng,0
1839,Cooper Edmunds,0
1840,Cooper Hart,0
1841,Cooper Mor,0
1842,Cooper Newby,0
1843,Corbin Hennen,0
1844,"Corey Fish, MD",0
1845,Corey Mahan,0
1846,Corey Pierson,0
1847,Cormac Driver,0
1848,Cornell Wright,0
1849,Corry Flatt,0
1850,Cory Li,0
1851,Cory O'Daniel,0
1852,Courtland Allen,0
1853,Courtney McColgan,0
1854,Courtney Sabo,0
1855,Craig Bonnoit,0
1856,Craig Cannon,0
1857,Craig Henry,0
1858,Craig Soules,0
1859,Cris Feo,0
1860,Cristian Asenjo,0
1861,Cristian Bodnar,0
1862,Cristina Bunea,0
1863,Cristina Char,0
1864,Cristóbal Grinbergs,0
1865,Cuauhtli Padilla,0
1866,Cullen Wilson,0
1867,Curtis Fonger,1
1868,Curtis Liu,1
1869,Cydney Kim,0
1870,Cyril Gantzer,0
1871,Cyril HAGEGE,0
1872,Cyrus Jia,0
1873,Cyrus Lohrasbpour,0
1874,Cyrus Nouroozi,0
1875,D. Scott Phoenix,0
1876,DJ Burdick,0
1877,DK (Do Kyung) Lee,0
1878,DY ​,0
1879,Dafeng Guo,0
1880,Dain Lewis,0
1881,Dainis Kruze,0
1882,Daishin Sugano,0
1883,Daksh Gupta,0
1884,Daksh Shah,0
1885,Dalibor Sames,0
1886,Dallin Palmer,0
1887,Damian Sowers,0
1888,Damien Henry,1
1889,Damilola Ayorinde,0
1890,Damilola Oni,0
1891,Dan Barak,0
1892,Dan Burke,0
1893,Dan Burton,0
1894,Dan Carroll,0
1895,Dan Chi,0
1896,Dan Conger,0
1897,Dan Danay,0
1898,Dan Delaney,0
1899,Dan Elkaim,0
1900,Dan Gillespie,0
1901,Dan Goodman,0
1902,Dan Haubert,0
1903,Dan Hill,1
1904,Dan Hobbs,0
1905,Dan Hong,0
1906,Dan Hughes,0
1907,Dan Hunt,0
1908,Dan Hunter,0
1909,Dan Jones,0
1910,Dan Knox,0
1911,Dan Li,0
1912,Dan Lin,0
1913,Dan Lin-Arlow,0
1914,Dan Maas,0
1915,Dan Meyer,0
1916,Dan Morin,0
1917,Dan Pastusek,0
1918,Dan Patel,0
1919,Dan Ribbens,0
1920,Dan Rosa,0
1921,Dan Ryan,0
1922,Dan Silberman,0
1923,Dan Sugarman,0
1924,Dan Veltri,0
1925,Dan Walker,0
1926,Dana Lee,0
1927,Dana Levine,1
1928,Dane Cook,0
1929,Dane Hurtubise,0
1930,Danen Pool,0
1931,Dani Conejo Rico,0
1932,Danial Afzal,1
1933,Danial Hashemi,0
1934,Danial Jameel,0
1935,Daniel Afolayan,0
1936,Daniel Ahmadizadeh,0
1937,Daniel Aisen,0
1938,Daniel Akle Carranza,0
1939,Daniel Alberson,1
1940,Daniel Balla,0
1941,Daniel Barabander,0
1942,Daniel Bassett,0
1943,Daniel Baum,0
1944,Daniel Bilbao,0
1945,Daniel Brain,0
1946,Daniel Camilleri,0
1947,Daniel Cavero,0
1948,Daniel Chalef,0
1949,Daniel Choi,0
1950,Daniel Citron,1
1951,Daniel Conrad,1
1952,Daniel Di Spaltro,0
1953,Daniel Dinh,0
1954,Daniel Fang,0
1955,Daniel Fletcher,0
1956,Daniel Francis,0
1957,Daniel Gackle,0
1958,Daniel Getelman,0
1959,Daniel Gomez,0
1960,Daniel Grippi,0
1961,Daniel Gross,1
1962,Daniel Ha,0
1963,Daniel Habib,1
1964,Daniel Han,0
1965,Daniel Hensley,0
1966,Daniel James,0
1967,Daniel Jones,0
1968,Daniel Kan,0
1969,Daniel Kang,0
1970,Daniel Kim,0
1971,Daniel Kimerling,0
1972,Daniel Kivatinos,0
1973,Daniel Kluesing,0
1974,Daniel Kobran,0
1975,Daniel Kwak,0
1976,Daniel Langer,0
1977,Daniel Lantz,0
1978,Daniel Lau,1
1979,Daniel Lenton,0
1980,Daniel Levine,0
1981,Daniel Lewis,0
1982,Daniel Li,1
1983,Daniel Liechtenstein,0
1984,Daniel Lopez,0
1985,Daniel Lopretto,0
1986,Daniel Martinho-Corbishley,0
1987,Daniel Mazur,0
1988,Daniel Mogilny,0
1989,Daniel Nelson,0
1990,Daniel Petkevich,0
1991,Daniel Pfingstgraef,0
1992,Daniel Portela,0
1993,Daniel Pronk,0
1994,Daniel Putzer,0
1995,Daniel Rhodes,0
1996,Daniel Roos,0
1997,Daniel Ruhman,0
1998,Daniel Schofield,0
1999,Daniel Selans,0
2000,Daniel Shein,0
2001,Daniel Shkreli,0
2002,Daniel Sperling-Horowitz,0
2003,Daniel Storgaard,0
2004,Daniel Sun,0
2005,Daniel Terhorst,0
2006,Daniel Varga,0
2007,Daniel Vlasits,0
2008,Daniel Wagner,0
2009,Daniel Wasserlauf,0
2010,Daniel Wigh,0
2011,Daniel Wilson,0
2012,Daniel Woelfel,1
2013,Daniel Yanisse,0
2014,Daniel Zamoshchin,0
2015,Daniel van Leeuwen,0
2016,Daniele Perito,0
2017,"Danielle ""Elle"" Morrill",0
2018,Danielle Sobel,0
2019,Danielle Yoesep,0
2020,Danilo Cabello,0
2021,Danilo Stern-Sapad,0
2022,Daniyal Afzal,0
2023,Dann Petty,0
2024,Danna Liu,0
2025,Dannie Chu,0
2026,Danny Castonguay,0
2027,Danny Hakimian,0
2028,Danny Olinsky,0
2029,Danny Sheridan,1
2030,Danny Su,1
2031,Danny Wen,0
2032,Danny Whalen,0
2033,Danylo Prusakov,0
2034,Darby Wong,0
2035,Daria Balatsky,0
2036,Daria Evdokimova,1
2037,Darpan Khurana,0
2038,Darragh Buckley,0
2039,Darragh Mc Kay,0
2040,Darrell Adjei,1
2041,Darren Fike,0
2042,Darren Hsu,1
2043,Darren Spencer,0
2044,Darrick Brown,0
2045,Darshita Chaturvedi,0
2046,Darya Moldavskaya,0
2047,Daryl Lim,0
2048,Daryna Kulya,0
2049,Dasha Cherepennikova,1
2050,Dave Brushinski,0
2051,Dave Bryand,0
2052,Dave Feldman,0
2053,Dave Fowler,0
2054,Dave Gandy,0
2055,Dave Grannan,0
2056,Dave Jackson,0
2057,Dave Jeffery,0
2058,Dave Kashen,0
2059,Dave Newman,0
2060,Dave Ramish,0
2061,Dave Rogenmoser,0
2062,Dave Rolnitzky,0
2063,Dave Salvant,0
2064,Dave Vass,0
2065,Dave Y. Kim,0
